run_id,k_si,n_si,spec_r,pte_8,pte_8_error
397,1.0625,0.5,0.875,0.00369,0.00019209372712298544
398,1.0625,0.5,0.9166666666666666,0.00371,0.00019261360284258223
399,1.0625,0.5,0.9583333333333333,0.00382,0.00019544820285692066
400,1.0625,0.5,1.0,0.00385,0.00019621416870348583
401,1.1,0.5,0.0,0.00216,0.0001469693845669907
402,1.1,0.5,0.041666666666666664,0.00229,0.00015132745950421556
403,1.1,0.5,0.08333333333333333,0.00235,0.0001532970971675589
404,1.1,0.5,0.125,0.00239,0.00015459624833740306
405,1.1,0.5,0.16666666666666666,0.00246,0.00015684387141358123
406,1.1,0.5,0.20833333333333331,0.00249,0.000157797338380595
407,1.1,0.5,0.25,0.0026,0.00016124515496597098
408,1.1,0.5,0.29166666666666663,0.00265,0.00016278820596099706
409,1.1,0.5,0.3333333333333333,0.00269,0.00016401219466856726
410,1.1,0.5,0.375,0.00278,0.00016673332000533066
411,1.1,0.5,0.41666666666666663,0.00283,0.0001682260384126072
412,1.1,0.5,0.4583333333333333,0.00295,0.00017175564037317666
413,1.1,0.5,0.5,0.00311,0.00017635192088548396
414,1.1,0.5,0.5416666666666666,0.00316,0.00017776388834631177
415,1.1,0.5,0.5833333333333333,0.00322,0.0001794435844492636
416,1.1,0.5,0.625,0.00331,0.00018193405398660254
417,1.1,0.5,0.6666666666666666,0.00339,0.00018411952639521968
418,1.1,0.5,0.7083333333333333,0.00346,0.00018601075237738274
419,1.1,0.5,0.75,0.00346,0.00018601075237738274
420,1.1,0.5,0.7916666666666666,0.00352,0.0001876166303929372
421,1.1,0.5,0.8333333333333333,0.00359,0.00018947295321496415
422,1.1,0.5,0.875,0.0037,0.00019235384061671342
