k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
0.94,1.8188235294117647,0.0015585,2.791504970441572e-05,0.001443,2.6860752037126583e-05
0.94,1.8405882352941176,0.0015545,2.7879203718901298e-05,0.001439,2.6823497162003318e-05
0.94,1.8623529411764705,0.0015495,2.783433131943356e-05,0.0014365,2.680018656651479e-05
0.94,1.8841176470588235,0.0015455,2.7798381247835277e-05,0.0014335,2.677218706045511e-05
0.94,1.9058823529411764,0.001542,2.776688675382964e-05,0.0014315,2.675350444334349e-05
0.94,1.9276470588235295,0.0015405,2.7753378172755833e-05,0.0014295,2.6734808770589703e-05
0.94,1.9494117647058824,0.0015375,2.7726341266023543e-05,0.0014265,2.6706740722147283e-05
0.94,1.9711764705882353,0.001537,2.7721832551258224e-05,0.0014255,2.669737814842499e-05
0.94,1.9929411764705882,0.001536,2.7712812921102034e-05,0.0014245,2.6688012290165036e-05
0.94,2.014705882352941,0.0015355,2.770830200499482e-05,0.001423,2.6673957336698278e-05
0.94,2.0364705882352943,0.001535,2.7703790354390135e-05,0.001424,2.668332812825267e-05
0.94,2.058235294117647,0.001534,2.7694764848252457e-05,0.0014235,2.66786431439082e-05
0.94,2.08,0.0015345,2.769927796892908e-05,0.001424,2.668332812825267e-05
0.96,1.71,0.0015885,2.8182441342083904e-05,0.00147,2.7110883423451918e-05
0.96,1.7317647058823529,0.0015835,2.8138052526783013e-05,0.001465,2.7064737205448715e-05
0.96,1.7535294117647058,0.0015765,2.8075790282732915e-05,0.00146,2.701851217221259e-05
0.96,1.775294117647059,0.0015745,2.8057975693196402e-05,0.001457,2.699073915253156e-05
0.96,1.7970588235294118,0.0015715,2.803123258081956e-05,0.001455,2.6972207918522353e-05
0.96,1.8188235294117647,0.001569,2.8008927148321835e-05,0.0014505,2.693046601899046e-05
0.96,1.8405882352941176,0.0015665,2.798660393831306e-05,0.001448,2.690724809414742e-05
0.96,1.8623529411764705,0.0015625,2.7950849718747372e-05,0.0014455,2.688401011754013e-05
0.96,1.8841176470588235,0.00156,2.792848008753788e-05,0.001442,2.6851443164195103e-05
0.96,1.9058823529411764,0.001556,2.7892651361962705e-05,0.001437,2.680485030736042e-05
0.96,1.9276470588235295,0.001553,2.7865749586185547e-05,0.001436,2.6795522013948523e-05
0.96,1.9494117647058824,0.0015495,2.783433131943356e-05,0.0014355,2.679085664923763e-05
0.96,1.9711764705882353,0.001547,2.7811867970346762e-05,0.001434,2.677685567799177e-05
0.96,1.9929411764705882,0.0015455,2.7798381247835277e-05,0.001432,2.6758176320519305e-05
0.96,2.014705882352941,0.001545,2.7793884219374592e-05,0.001432,2.6758176320519305e-05
0.96,2.0364705882352943,0.001545,2.7793884219374592e-05,0.0014315,2.675350444334349e-05
0.96,2.058235294117647,0.001542,2.776688675382964e-05,0.0014295,2.6734808770589703e-05
0.96,2.08,0.0015415,2.7762384623803482e-05,0.0014285,2.6725456029785534e-05
